label,fund_type,nav_asset_id,proxy_uuid,broad_uuid
AUD | Real Estate - Value-Added - USA - AUD,Private Real Estate,3fa3139b-12b4-4271-a695-c59fa6c779b3,cd3b61ad-08af-49f7-a429-ea935c8942d4,b1591cc0-f9ff-4255-99b8-d34cd4678391
CHF | Debt - Mezzanine - CHF,Private Credit,f0a46488-6aef-4f8c-949f-c149e22a2165,97594cfe-12dc-45f8-bf0e-4dce58b85572,20408da9-93d4-45db-ae31-10c1567d2140
CHF | Debt - Senior - CHF,Private Credit,05140500-55cf-41a1-9d5b-45867ef356c5,20408da9-93d4-45db-ae31-10c1567d2140,37af730e-6d33-49ea-8058-18f1770472fb
CHF | Eq - Buyout + Expansion - CHF,Private Equity,ba5e004b-2ddd-4afd-9302-9f55c362d1c6,c78e3a72-2261-49e1-af72-f16daabbd3a8,8a8d9a6c-b780-4196-aab2-017d64433220
CHF | Venture Capital - CHF,Private Equity,7be4b0e0-d30c-4bb1-a16c-4a0d95c38faa,116710ab-d173-4358-90db-0a5bf6c5a304,8a8d9a6c-b780-4196-aab2-017d64433220
CHF | Infrastructure - CHF,Private Real Assets,4499768e-e70a-49c6-9730-06fd183dc6e9,07aa9740-adf4-407e-9473-b4dd1c3fb5f6,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
CHF | Timber - CHF,Private Real Assets,098857f0-7eb3-495f-93eb-ff9dc4e83373,653e8db3-a3cb-4017-a536-94273f906711,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
CHF | Real Estate - Ex-Value-Added - Europe - CHF,Private Real Estate,afcce5ad-bba8-4399-b961-57221e355e53,8f8123cf-283c-4f81-a219-49921e980cc0,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
CHF | Real Estate - Ex-Value-Added - USA - CHF,Private Real Estate,cb8ec372-b3b2-423c-b33a-ae6aec6fc093,03e53409-2cf0-49ef-9299-72e1cb0b588b,b1591cc0-f9ff-4255-99b8-d34cd4678391
CHF | Real Estate - Value-Added - USA - CHF,Private Real Estate,0bf886bc-ac0b-47ca-9691-14c2c3c5dda9,cd3b61ad-08af-49f7-a429-ea935c8942d4,b1591cc0-f9ff-4255-99b8-d34cd4678391
